Date,Open,High,Low,Close,__source_file__
2013-01-02,"1,426.19","1,462.43","1,426.19","1,462.42",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-03,"1,462.42","1,465.47","1,455.53","1,459.37",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-04,"1,459.37","1,467.94","1,458.99","1,466.47",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-07,"1,466.47","1,466.47","1,456.62","1,461.89",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-08,"1,461.89","1,461.89","1,451.64","1,457.15",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-09,"1,457.15","1,464.73","1,457.15","1,461.02",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-10,"1,461.02","1,472.30","1,461.02","1,472.12",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-11,"1,472.12","1,472.75","1,467.58","1,472.05",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-14,"1,472.05","1,472.05","1,465.69","1,470.68",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-15,"1,470.67","1,473.31","1,463.76","1,472.34",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-16,"1,472.33","1,473.96","1,467.60","1,472.63",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-17,"1,472.63","1,485.16","1,472.63","1,480.94",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-18,"1,480.95","1,485.98","1,475.81","1,485.98",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-22,"1,485.98","1,492.56","1,481.16","1,492.56",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-23,"1,492.56","1,496.13","1,489.90","1,494.81",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-24,"1,494.81","1,502.27","1,489.46","1,494.82",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-25,"1,494.82","1,503.26","1,494.82","1,502.96",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-28,"1,502.96","1,503.23","1,496.33","1,500.18",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-29,"1,500.18","1,509.35","1,498.09","1,507.84",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-30,"1,507.84","1,509.94","1,500.11","1,501.96",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-01-31,"1,501.96","1,504.19","1,496.76","1,498.11",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-01,"1,498.11","1,514.41","1,498.11","1,513.17",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-04,"1,513.17","1,513.17","1,495.02","1,495.71",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-05,"1,495.71","1,514.96","1,495.71","1,511.29",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-06,"1,511.29","1,512.53","1,504.71","1,512.12",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-07,"1,512.12","1,512.90","1,498.49","1,509.39",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-08,"1,509.39","1,518.31","1,509.39","1,517.93",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-11,"1,517.93","1,518.31","1,513.61","1,517.01",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-12,"1,517.01","1,522.29","1,515.61","1,519.43",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-13,"1,519.43","1,524.69","1,515.93","1,520.33",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-14,"1,520.33","1,523.14","1,514.02","1,521.38",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-15,"1,521.38","1,524.24","1,514.14","1,519.79",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-19,"1,519.79","1,530.94","1,519.79","1,530.94",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-20,"1,530.94","1,530.94","1,511.41","1,511.95",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-21,"1,511.95","1,511.95","1,497.29","1,502.42",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-22,"1,502.42","1,515.64","1,502.42","1,515.60",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-25,"1,515.60","1,525.84","1,487.85","1,487.85",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-26,"1,487.85","1,498.99","1,485.01","1,496.94",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-27,"1,496.94","1,520.08","1,494.88","1,515.99",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-02-28,"1,515.99","1,525.34","1,514.46","1,514.68",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-01,"1,514.68","1,519.99","1,501.48","1,518.20",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-04,"1,518.20","1,525.27","1,512.29","1,525.20",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-05,"1,525.20","1,543.47","1,525.20","1,539.79",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-06,"1,539.79","1,545.25","1,538.11","1,541.46",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-07,"1,541.46","1,545.78","1,541.46","1,544.26",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-08,"1,544.26","1,552.48","1,542.94","1,551.18",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-11,"1,551.15","1,556.27","1,547.36","1,556.22",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-12,"1,556.22","1,556.77","1,548.24","1,552.48",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-13,"1,552.48","1,556.39","1,548.25","1,554.52",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-14,"1,554.52","1,563.32","1,554.52","1,563.23",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-15,"1,563.21","1,563.62","1,555.74","1,560.70",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-18,"1,560.70","1,560.70","1,545.13","1,552.10",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-19,"1,552.10","1,557.25","1,538.57","1,548.34",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-20,"1,548.34","1,561.56","1,548.34","1,558.71",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-21,"1,558.71","1,558.71","1,543.55","1,545.80",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-22,"1,545.90","1,557.74","1,545.90","1,556.89",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-25,"1,556.89","1,564.91","1,546.22","1,551.69",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-26,"1,551.69","1,563.95","1,551.69","1,563.77",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-27,"1,563.75","1,564.07","1,551.90","1,562.85",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-03-28,"1,562.86","1,570.28","1,561.08","1,569.19",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-01,"1,569.18","1,570.57","1,558.47","1,562.17",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-02,"1,562.17","1,573.66","1,562.17","1,570.25",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-03,"1,570.25","1,571.47","1,549.80","1,553.69",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-04,"1,553.69","1,562.60","1,552.52","1,559.98",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-05,"1,559.98","1,559.98","1,539.50","1,553.28",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-08,"1,553.26","1,563.07","1,548.63","1,563.07",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-09,"1,563.11","1,573.89","1,560.92","1,568.61",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-10,"1,568.61","1,589.07","1,568.61","1,587.73",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-11,"1,587.73","1,597.35","1,586.17","1,593.37",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-12,"1,593.30","1,593.30","1,579.97","1,588.85",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-15,"1,588.84","1,588.84","1,552.28","1,552.36",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-16,"1,552.36","1,575.35","1,552.36","1,574.57",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-17,"1,574.57","1,574.57","1,543.69","1,552.01",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-18,"1,552.03","1,554.38","1,536.03","1,541.61",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-19,"1,541.61","1,555.89","1,539.40","1,555.25",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-22,"1,555.25","1,565.55","1,548.19","1,562.50",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-23,"1,562.50","1,579.58","1,562.50","1,578.78",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-24,"1,578.78","1,583.00","1,575.80","1,578.79",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-25,"1,578.93","1,592.64","1,578.93","1,585.16",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-26,"1,585.16","1,585.78","1,577.56","1,582.24",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-29,"1,582.34","1,596.65","1,582.34","1,593.61",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-04-30,"1,593.58","1,597.57","1,586.50","1,597.57",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-01,"1,597.55","1,597.55","1,581.28","1,582.70",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-02,"1,582.77","1,598.60","1,582.77","1,597.59",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-03,"1,597.60","1,618.46","1,597.60","1,614.42",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-06,"1,614.40","1,619.77","1,614.21","1,617.50",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-07,"1,617.55","1,626.03","1,616.64","1,625.96",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-08,"1,625.95","1,632.78","1,622.70","1,632.69",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-09,"1,632.69","1,635.01","1,623.09","1,626.67",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-10,"1,626.69","1,633.70","1,623.71","1,633.70",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-13,"1,632.10","1,636.00","1,626.74","1,633.77",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-14,"1,633.75","1,651.10","1,633.75","1,650.34",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-15,"1,649.13","1,661.49","1,646.68","1,658.78",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-16,"1,658.07","1,660.51","1,648.60","1,650.47",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-17,"1,652.45","1,667.47","1,652.45","1,667.47",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-20,"1,665.71","1,672.84","1,663.52","1,666.29",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-21,"1,666.20","1,674.93","1,662.67","1,669.16",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-22,"1,669.39","1,687.18","1,648.86","1,655.35",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-23,"1,651.62","1,655.50","1,635.53","1,650.51",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-24,"1,646.67","1,649.78","1,636.88","1,649.60",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-28,"1,652.63","1,674.21","1,652.63","1,660.06",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-29,"1,656.57","1,656.57","1,640.05","1,648.36",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-30,"1,649.14","1,661.91","1,648.61","1,654.41",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-05-31,"1,652.13","1,658.99","1,630.74","1,630.74",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-03,"1,631.71","1,640.42","1,622.72","1,640.42",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-04,"1,640.73","1,646.53","1,623.62","1,631.38",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-05,"1,629.05","1,629.31","1,607.09","1,608.90",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-06,"1,609.29","1,622.56","1,598.23","1,622.56",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-07,"1,625.27","1,644.40","1,625.27","1,643.38",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-10,"1,644.67","1,648.69","1,639.26","1,642.81",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-11,"1,638.64","1,640.13","1,622.92","1,626.13",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-12,"1,629.94","1,637.71","1,610.92","1,612.52",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-13,"1,612.15","1,639.25","1,608.07","1,636.36",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-14,"1,635.52","1,640.80","1,623.96","1,626.73",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-17,"1,630.64","1,646.50","1,630.34","1,639.04",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-18,"1,639.77","1,654.19","1,639.77","1,651.81",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-19,"1,651.83","1,652.45","1,628.91","1,628.93",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-20,"1,624.62","1,624.62","1,584.32","1,588.19",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-21,"1,588.62","1,599.19","1,577.70","1,592.43",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-24,"1,588.77","1,588.77","1,560.33","1,573.09",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-25,"1,577.52","1,593.79","1,577.09","1,588.03",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-26,"1,592.27","1,606.83","1,592.27","1,603.26",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-27,"1,606.44","1,620.07","1,606.44","1,613.20",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-06-28,"1,611.12","1,615.94","1,601.06","1,606.28",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-01,"1,609.78","1,626.61","1,609.78","1,614.96",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-02,"1,614.29","1,624.26","1,606.77","1,614.08",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-03,"1,611.48","1,618.97","1,604.57","1,615.41",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-05,"1,618.65","1,632.07","1,614.71","1,631.89",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-08,"1,634.20","1,644.68","1,634.20","1,640.46",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-09,"1,642.89","1,654.18","1,642.89","1,652.32",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-10,"1,651.56","1,657.92","1,647.66","1,652.62",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-11,"1,657.41","1,676.63","1,657.41","1,675.02",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-12,"1,675.26","1,680.19","1,672.33","1,680.19",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-15,"1,679.59","1,684.51","1,677.89","1,682.50",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-16,"1,682.70","1,683.73","1,671.84","1,676.26",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-17,"1,677.91","1,684.75","1,677.91","1,680.91",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-18,"1,681.05","1,693.12","1,681.05","1,689.37",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-19,"1,686.15","1,692.09","1,684.08","1,692.09",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-22,"1,694.41","1,697.61","1,690.67","1,695.53",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-23,"1,696.63","1,698.78","1,691.13","1,692.39",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-24,"1,696.06","1,698.38","1,682.57","1,685.94",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-25,"1,685.21","1,690.94","1,680.07","1,690.25",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-26,"1,687.31","1,691.85","1,676.03","1,691.65",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-29,"1,690.32","1,690.92","1,681.86","1,685.33",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-30,"1,687.92","1,693.19","1,682.42","1,685.96",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-07-31,"1,687.76","1,698.43","1,684.94","1,685.73",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-01,"1,689.42","1,707.85","1,689.42","1,706.87",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-02,"1,706.10","1,709.67","1,700.68","1,709.67",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-05,"1,708.01","1,709.24","1,703.55","1,707.14",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-06,"1,705.79","1,705.79","1,693.29","1,697.37",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-07,"1,695.30","1,695.30","1,684.91","1,690.91",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-08,"1,693.35","1,700.18","1,688.38","1,697.48",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-09,"1,696.10","1,699.42","1,686.02","1,691.42",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-12,"1,688.37","1,691.49","1,683.35","1,689.47",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-13,"1,690.65","1,696.81","1,682.62","1,694.16",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-14,"1,693.88","1,695.52","1,684.83","1,685.39",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-15,"1,679.61","1,679.61","1,658.59","1,661.32",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-16,"1,661.22","1,663.60","1,652.61","1,655.83",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-19,"1,655.25","1,659.18","1,645.84","1,646.06",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-20,"1,646.81","1,658.92","1,646.08","1,652.35",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-21,"1,650.66","1,656.99","1,639.43","1,642.80",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-22,"1,645.03","1,659.55","1,645.03","1,656.96",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-23,"1,659.92","1,664.85","1,654.81","1,663.50",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-26,"1,664.29","1,669.51","1,656.02","1,656.78",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-27,"1,652.54","1,652.54","1,629.05","1,630.48",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-28,"1,630.25","1,641.18","1,627.47","1,634.96",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-29,"1,633.50","1,646.41","1,630.88","1,638.17",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-08-30,"1,638.89","1,640.08","1,628.05","1,632.97",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-03,"1,635.95","1,651.35","1,633.41","1,639.77",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-04,"1,640.72","1,655.72","1,637.41","1,653.08",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-05,"1,653.28","1,659.17","1,653.07","1,655.08",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-06,"1,657.44","1,664.83","1,640.62","1,655.17",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-09,"1,656.85","1,672.40","1,656.85","1,671.71",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-10,"1,674.32","1,684.09","1,674.32","1,683.99",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-11,"1,681.04","1,689.13","1,678.70","1,689.13",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-12,"1,689.21","1,689.97","1,681.96","1,683.42",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-13,"1,685.04","1,688.73","1,682.22","1,687.99",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-16,"1,691.70","1,704.95","1,691.70","1,697.60",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-17,"1,697.73","1,705.52","1,697.73","1,704.76",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-18,"1,705.74","1,729.44","1,700.35","1,725.52",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-19,"1,727.34","1,729.86","1,720.20","1,722.34",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-20,"1,722.44","1,725.23","1,708.89","1,709.91",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-23,"1,711.44","1,711.44","1,697.10","1,701.84",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-24,"1,702.60","1,707.63","1,694.90","1,697.42",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-25,"1,698.02","1,701.71","1,691.88","1,692.77",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-26,"1,694.05","1,703.85","1,693.11","1,698.67",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-27,"1,695.52","1,695.52","1,687.11","1,691.75",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-09-30,"1,687.26","1,687.26","1,674.99","1,681.55",Download Data - INDEX_US_S&P US_SPX_2013.csv
2013-10-01,"1,682.41","1,696.55","1,682.07","1,695.00",Download Data - INDEX_US_S&P US_SPX_2013.csv
